# Assembly name:  hs38d1
# Description:    Decoy version 1 for GRCh38
# Organism name:  Homo sapiens (human)
# Isolate:  Pool of 254 public SGDP samples
# Sex:  pooled male and female
# Taxid:          9606
# BioSample:      SAMN03200031
# BioProject:     PRJNA267742
# Submitter:      Harvard Medical School
# Date:           2014-12-18
# Assembly type:  haploid
# Release type:   major
# Assembly level: Scaffold
# Genome representation: partial
# Assembly method: fermi2 v. r167
# Expected final version: No
# Genome coverage: 30.0x
# Sequencing technology: Illumina HiSeq short-insert PCR-free
# Excluded from RefSeq: partial
# GenBank assembly accession: GCA_000786075.2
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000786095.2		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
decoy00124	unplaced-scaffold	na	na	JTFH01000059.1	<>	na	Primary Assembly	4242	na
decoy00126	unplaced-scaffold	na	na	JTFH01000060.1	<>	na	Primary Assembly	4228	na
decoy00127	unplaced-scaffold	na	na	JTFH01000061.1	<>	na	Primary Assembly	4222	na
decoy00128	unplaced-scaffold	na	na	JTFH01000062.1	<>	na	Primary Assembly	4216	na
decoy00129	unplaced-scaffold	na	na	JTFH01000063.1	<>	na	Primary Assembly	4210	na
decoy00131	unplaced-scaffold	na	na	JTFH01000064.1	<>	na	Primary Assembly	4206	na
decoy00133	unplaced-scaffold	na	na	JTFH01000065.1	<>	na	Primary Assembly	4102	na
decoy00134	unplaced-scaffold	na	na	JTFH01000066.1	<>	na	Primary Assembly	4101	na
decoy00135	unplaced-scaffold	na	na	JTFH01000067.1	<>	na	Primary Assembly	4083	na
decoy00141	unplaced-scaffold	na	na	JTFH01000068.1	<>	na	Primary Assembly	3967	na
decoy00142	unplaced-scaffold	na	na	JTFH01000069.1	<>	na	Primary Assembly	3955	na
decoy00143	unplaced-scaffold	na	na	JTFH01000070.1	<>	na	Primary Assembly	3945	na
decoy00145	unplaced-scaffold	na	na	JTFH01000071.1	<>	na	Primary Assembly	3930	na
decoy00146	unplaced-scaffold	na	na	JTFH01000072.1	<>	na	Primary Assembly	3929	na
decoy00147	unplaced-scaffold	na	na	JTFH01000073.1	<>	na	Primary Assembly	3924	na
decoy00148	unplaced-scaffold	na	na	JTFH01000074.1	<>	na	Primary Assembly	3919	na
decoy00150	unplaced-scaffold	na	na	JTFH01000075.1	<>	na	Primary Assembly	3908	na
decoy00151	unplaced-scaffold	na	na	JTFH01000076.1	<>	na	Primary Assembly	3892	na
decoy00152	unplaced-scaffold	na	na	JTFH01000077.1	<>	na	Primary Assembly	3890	na
decoy00154	unplaced-scaffold	na	na	JTFH01000078.1	<>	na	Primary Assembly	3859	na
decoy00155	unplaced-scaffold	na	na	JTFH01000079.1	<>	na	Primary Assembly	3846	na
decoy00158	unplaced-scaffold	na	na	JTFH01000080.1	<>	na	Primary Assembly	3835	na
decoy00159	unplaced-scaffold	na	na	JTFH01000081.1	<>	na	Primary Assembly	3830	na
decoy00160	unplaced-scaffold	na	na	JTFH01000082.1	<>	na	Primary Assembly	3828	na
decoy00162	unplaced-scaffold	na	na	JTFH01000083.1	<>	na	Primary Assembly	3825	na
decoy00163	unplaced-scaffold	na	na	JTFH01000084.1	<>	na	Primary Assembly	3821	na
decoy00164	unplaced-scaffold	na	na	JTFH01000085.1	<>	na	Primary Assembly	3809	na
decoy00165	unplaced-scaffold	na	na	JTFH01000086.1	<>	na	Primary Assembly	3801	na
decoy00166	unplaced-scaffold	na	na	JTFH01000087.1	<>	na	Primary Assembly	3799	na
decoy00167	unplaced-scaffold	na	na	JTFH01000088.1	<>	na	Primary Assembly	3737	na
decoy00170	unplaced-scaffold	na	na	JTFH01000089.1	<>	na	Primary Assembly	3701	na
decoy00171	unplaced-scaffold	na	na	JTFH01000090.1	<>	na	Primary Assembly	3698	na
decoy00172	unplaced-scaffold	na	na	JTFH01000091.1	<>	na	Primary Assembly	3692	na
decoy00173	unplaced-scaffold	na	na	JTFH01000092.1	<>	na	Primary Assembly	3686	na
decoy00174	unplaced-scaffold	na	na	JTFH01000093.1	<>	na	Primary Assembly	3677	na
decoy00176	unplaced-scaffold	na	na	JTFH01000094.1	<>	na	Primary Assembly	3664	na
decoy00177	unplaced-scaffold	na	na	JTFH01000095.1	<>	na	Primary Assembly	3613	na
decoy00178	unplaced-scaffold	na	na	JTFH01000096.1	<>	na	Primary Assembly	3611	na
decoy00179	unplaced-scaffold	na	na	JTFH01000097.1	<>	na	Primary Assembly	3606	na
decoy00180	unplaced-scaffold	na	na	JTFH01000098.1	<>	na	Primary Assembly	3584	na
decoy00181	unplaced-scaffold	na	na	JTFH01000099.1	<>	na	Primary Assembly	3581	na
decoy00183	unplaced-scaffold	na	na	JTFH01000100.1	<>	na	Primary Assembly	3543	na
decoy00185	unplaced-scaffold	na	na	JTFH01000101.1	<>	na	Primary Assembly	3528	na
decoy00186	unplaced-scaffold	na	na	JTFH01000102.1	<>	na	Primary Assembly	3527	na
decoy00187	unplaced-scaffold	na	na	JTFH01000103.1	<>	na	Primary Assembly	3496	na
decoy00188	unplaced-scaffold	na	na	JTFH01000104.1	<>	na	Primary Assembly	3493	na
decoy00189	unplaced-scaffold	na	na	JTFH01000105.1	<>	na	Primary Assembly	3484	na
decoy00192	unplaced-scaffold	na	na	JTFH01000106.1	<>	na	Primary Assembly	3435	na
decoy00193	unplaced-scaffold	na	na	JTFH01000107.1	<>	na	Primary Assembly	3391	na
decoy00194	unplaced-scaffold	na	na	JTFH01000108.1	<>	na	Primary Assembly	3374	na
decoy00195	unplaced-scaffold	na	na	JTFH01000109.1	<>	na	Primary Assembly	3371	na
decoy00196	unplaced-scaffold	na	na	JTFH01000110.1	<>	na	Primary Assembly	3361	na
decoy00197	unplaced-scaffold	na	na	JTFH01000111.1	<>	na	Primary Assembly	3351	na
decoy00198	unplaced-scaffold	na	na	JTFH01000112.1	<>	na	Primary Assembly	3340	na
decoy00200	unplaced-scaffold	na	na	JTFH01000113.1	<>	na	Primary Assembly	3320	na
decoy00202	unplaced-scaffold	na	na	JTFH01000114.1	<>	na	Primary Assembly	3282	na
decoy00203	unplaced-scaffold	na	na	JTFH01000115.1	<>	na	Primary Assembly	3278	na
decoy00205	unplaced-scaffold	na	na	JTFH01000116.1	<>	na	Primary Assembly	3260	na
decoy00206	unplaced-scaffold	na	na	JTFH01000117.1	<>	na	Primary Assembly	3258	na
decoy00207	unplaced-scaffold	na	na	JTFH01000118.1	<>	na	Primary Assembly	3253	na
decoy00208	unplaced-scaffold	na	na	JTFH01000119.1	<>	na	Primary Assembly	3247	na
decoy00211	unplaced-scaffold	na	na	JTFH01000120.1	<>	na	Primary Assembly	3230	na
decoy00212	unplaced-scaffold	na	na	JTFH01000121.1	<>	na	Primary Assembly	3224	na
decoy00213	unplaced-scaffold	na	na	JTFH01000122.1	<>	na	Primary Assembly	3216	na
decoy00214	unplaced-scaffold	na	na	JTFH01000123.1	<>	na	Primary Assembly	3212	na
decoy00215	unplaced-scaffold	na	na	JTFH01000124.1	<>	na	Primary Assembly	3194	na
decoy00216	unplaced-scaffold	na	na	JTFH01000125.1	<>	na	Primary Assembly	3189	na
decoy00217	unplaced-scaffold	na	na	JTFH01000126.1	<>	na	Primary Assembly	3177	na
decoy00218	unplaced-scaffold	na	na	JTFH01000127.1	<>	na	Primary Assembly	3176	na
decoy00220	unplaced-scaffold	na	na	JTFH01000128.1	<>	na	Primary Assembly	3173	na
decoy00221	unplaced-scaffold	na	na	JTFH01000129.1	<>	na	Primary Assembly	3170	na
decoy00222	unplaced-scaffold	na	na	JTFH01000130.1	<>	na	Primary Assembly	3166	na
decoy00223	unplaced-scaffold	na	na	JTFH01000131.1	<>	na	Primary Assembly	3163	na
decoy00224	unplaced-scaffold	na	na	JTFH01000132.1	<>	na	Primary Assembly	3143	na
decoy00225	unplaced-scaffold	na	na	JTFH01000133.1	<>	na	Primary Assembly	3137	na
decoy00227	unplaced-scaffold	na	na	JTFH01000134.1	<>	na	Primary Assembly	3116	na
decoy00230	unplaced-scaffold	na	na	JTFH01000135.1	<>	na	Primary Assembly	3106	na
decoy00231	unplaced-scaffold	na	na	JTFH01000136.1	<>	na	Primary Assembly	3093	na
decoy00232	unplaced-scaffold	na	na	JTFH01000137.1	<>	na	Primary Assembly	3079	na
decoy00233	unplaced-scaffold	na	na	JTFH01000138.1	<>	na	Primary Assembly	3053	na
decoy00234	unplaced-scaffold	na	na	JTFH01000139.1	<>	na	Primary Assembly	3051	na
decoy00239	unplaced-scaffold	na	na	JTFH01000140.1	<>	na	Primary Assembly	3015	na
decoy00240	unplaced-scaffold	na	na	JTFH01000141.1	<>	na	Primary Assembly	3012	na
decoy00241	unplaced-scaffold	na	na	JTFH01000142.1	<>	na	Primary Assembly	3009	na
decoy00242	unplaced-scaffold	na	na	JTFH01000143.1	<>	na	Primary Assembly	2997	na
decoy00243	unplaced-scaffold	na	na	JTFH01000144.1	<>	na	Primary Assembly	2997	na
decoy00244	unplaced-scaffold	na	na	JTFH01000145.1	<>	na	Primary Assembly	2983	na
decoy00245	unplaced-scaffold	na	na	JTFH01000146.1	<>	na	Primary Assembly	2979	na
decoy00246	unplaced-scaffold	na	na	JTFH01000147.1	<>	na	Primary Assembly	2967	na
decoy00247	unplaced-scaffold	na	na	JTFH01000148.1	<>	na	Primary Assembly	2967	na
decoy00248	unplaced-scaffold	na	na	JTFH01000149.1	<>	na	Primary Assembly	2966	na
decoy00251	unplaced-scaffold	na	na	JTFH01000150.1	<>	na	Primary Assembly	2954	na
decoy00252	unplaced-scaffold	na	na	JTFH01000151.1	<>	na	Primary Assembly	2952	na
decoy00254	unplaced-scaffold	na	na	JTFH01000152.1	<>	na	Primary Assembly	2934	na
decoy00255	unplaced-scaffold	na	na	JTFH01000153.1	<>	na	Primary Assembly	2918	na
decoy00257	unplaced-scaffold	na	na	JTFH01000154.1	<>	na	Primary Assembly	2895	na
decoy00258	unplaced-scaffold	na	na	JTFH01000155.1	<>	na	Primary Assembly	2887	na
decoy00259	unplaced-scaffold	na	na	JTFH01000156.1	<>	na	Primary Assembly	2879	na
decoy00260	unplaced-scaffold	na	na	JTFH01000157.1	<>	na	Primary Assembly	2878	na
decoy00262	unplaced-scaffold	na	na	JTFH01000158.1	<>	na	Primary Assembly	2872	na
decoy00264	unplaced-scaffold	na	na	JTFH01000159.1	<>	na	Primary Assembly	2868	na
decoy00265	unplaced-scaffold	na	na	JTFH01000160.1	<>	na	Primary Assembly	2866	na
decoy00266	unplaced-scaffold	na	na	JTFH01000161.1	<>	na	Primary Assembly	2865	na
decoy00267	unplaced-scaffold	na	na	JTFH01000162.1	<>	na	Primary Assembly	2864	na
decoy00268	unplaced-scaffold	na	na	JTFH01000163.1	<>	na	Primary Assembly	2859	na
decoy00269	unplaced-scaffold	na	na	JTFH01000164.1	<>	na	Primary Assembly	2854	na
decoy00270	unplaced-scaffold	na	na	JTFH01000165.1	<>	na	Primary Assembly	2830	na
decoy00271	unplaced-scaffold	na	na	JTFH01000166.1	<>	na	Primary Assembly	2828	na
decoy00273	unplaced-scaffold	na	na	JTFH01000167.1	<>	na	Primary Assembly	2824	na
decoy00274	unplaced-scaffold	na	na	JTFH01000168.1	<>	na	Primary Assembly	2819	na
decoy00275	unplaced-scaffold	na	na	JTFH01000169.1	<>	na	Primary Assembly	2813	na
decoy00276	unplaced-scaffold	na	na	JTFH01000170.1	<>	na	Primary Assembly	2809	na
decoy00277	unplaced-scaffold	na	na	JTFH01000171.1	<>	na	Primary Assembly	2802	na
decoy00279	unplaced-scaffold	na	na	JTFH01000172.1	<>	na	Primary Assembly	2791	na
decoy00281	unplaced-scaffold	na	na	JTFH01000173.1	<>	na	Primary Assembly	2783	na
decoy00282	unplaced-scaffold	na	na	JTFH01000174.1	<>	na	Primary Assembly	2778	na
decoy00283	unplaced-scaffold	na	na	JTFH01000175.1	<>	na	Primary Assembly	2777	na
decoy00284	unplaced-scaffold	na	na	JTFH01000176.1	<>	na	Primary Assembly	2770	na
decoy00285	unplaced-scaffold	na	na	JTFH01000177.1	<>	na	Primary Assembly	2769	na
decoy00286	unplaced-scaffold	na	na	JTFH01000178.1	<>	na	Primary Assembly	2767	na
decoy00287	unplaced-scaffold	na	na	JTFH01000179.1	<>	na	Primary Assembly	2763	na
decoy00288	unplaced-scaffold	na	na	JTFH01000180.1	<>	na	Primary Assembly	2745	na
decoy00289	unplaced-scaffold	na	na	JTFH01000181.1	<>	na	Primary Assembly	2742	na
decoy00290	unplaced-scaffold	na	na	JTFH01000182.1	<>	na	Primary Assembly	2736	na
decoy00291	unplaced-scaffold	na	na	JTFH01000183.1	<>	na	Primary Assembly	2729	na
decoy00292	unplaced-scaffold	na	na	JTFH01000184.1	<>	na	Primary Assembly	2726	na
decoy00293	unplaced-scaffold	na	na	JTFH01000185.1	<>	na	Primary Assembly	2719	na
decoy00295	unplaced-scaffold	na	na	JTFH01000186.1	<>	na	Primary Assembly	2715	na
decoy00296	unplaced-scaffold	na	na	JTFH01000187.1	<>	na	Primary Assembly	2708	na
decoy00297	unplaced-scaffold	na	na	JTFH01000188.1	<>	na	Primary Assembly	2704	na
decoy00298	unplaced-scaffold	na	na	JTFH01000189.1	<>	na	Primary Assembly	2692	na
decoy00299	unplaced-scaffold	na	na	JTFH01000190.1	<>	na	Primary Assembly	2691	na
decoy00300	unplaced-scaffold	na	na	JTFH01000191.1	<>	na	Primary Assembly	2690	na
decoy00301	unplaced-scaffold	na	na	JTFH01000192.1	<>	na	Primary Assembly	2687	na
decoy00302	unplaced-scaffold	na	na	JTFH01000193.1	<>	na	Primary Assembly	2677	na
decoy00305	unplaced-scaffold	na	na	JTFH01000194.1	<>	na	Primary Assembly	2668	na
decoy00306	unplaced-scaffold	na	na	JTFH01000195.1	<>	na	Primary Assembly	2668	na
decoy00308	unplaced-scaffold	na	na	JTFH01000196.1	<>	na	Primary Assembly	2663	na
decoy00309	unplaced-scaffold	na	na	JTFH01000197.1	<>	na	Primary Assembly	2655	na
decoy00310	unplaced-scaffold	na	na	JTFH01000198.1	<>	na	Primary Assembly	2644	na
decoy00311	unplaced-scaffold	na	na	JTFH01000199.1	<>	na	Primary Assembly	2642	na
decoy00312	unplaced-scaffold	na	na	JTFH01000200.1	<>	na	Primary Assembly	2632	na
decoy00313	unplaced-scaffold	na	na	JTFH01000201.1	<>	na	Primary Assembly	2632	na
decoy00315	unplaced-scaffold	na	na	JTFH01000202.1	<>	na	Primary Assembly	2628	na
decoy00316	unplaced-scaffold	na	na	JTFH01000203.1	<>	na	Primary Assembly	2623	na
decoy00318	unplaced-scaffold	na	na	JTFH01000204.1	<>	na	Primary Assembly	2622	na
decoy00319	unplaced-scaffold	na	na	JTFH01000205.1	<>	na	Primary Assembly	2619	na
decoy00321	unplaced-scaffold	na	na	JTFH01000206.1	<>	na	Primary Assembly	2605	na
decoy00322	unplaced-scaffold	na	na	JTFH01000207.1	<>	na	Primary Assembly	2603	na
decoy00323	unplaced-scaffold	na	na	JTFH01000208.1	<>	na	Primary Assembly	2601	na
decoy00324	unplaced-scaffold	na	na	JTFH01000209.1	<>	na	Primary Assembly	2598	na
decoy00325	unplaced-scaffold	na	na	JTFH01000210.1	<>	na	Primary Assembly	2597	na
decoy00326	unplaced-scaffold	na	na	JTFH01000211.1	<>	na	Primary Assembly	2596	na
decoy00327	unplaced-scaffold	na	na	JTFH01000212.1	<>	na	Primary Assembly	2594	na
decoy00328	unplaced-scaffold	na	na	JTFH01000213.1	<>	na	Primary Assembly	2586	na
decoy00329	unplaced-scaffold	na	na	JTFH01000214.1	<>	na	Primary Assembly	2585	na
decoy00330	unplaced-scaffold	na	na	JTFH01000215.1	<>	na	Primary Assembly	2583	na
decoy00331	unplaced-scaffold	na	na	JTFH01000216.1	<>	na	Primary Assembly	2578	na
decoy00333	unplaced-scaffold	na	na	JTFH01000217.1	<>	na	Primary Assembly	2569	na
decoy00334	unplaced-scaffold	na	na	JTFH01000218.1	<>	na	Primary Assembly	2569	na
decoy00337	unplaced-scaffold	na	na	JTFH01000219.1	<>	na	Primary Assembly	2551	na
decoy00338	unplaced-scaffold	na	na	JTFH01000220.1	<>	na	Primary Assembly	2548	na
decoy00339	unplaced-scaffold	na	na	JTFH01000221.1	<>	na	Primary Assembly	2548	na
decoy00340	unplaced-scaffold	na	na	JTFH01000222.1	<>	na	Primary Assembly	2546	na
decoy00341	unplaced-scaffold	na	na	JTFH01000223.1	<>	na	Primary Assembly	2545	na
decoy00342	unplaced-scaffold	na	na	JTFH01000224.1	<>	na	Primary Assembly	2534	na
decoy00343	unplaced-scaffold	na	na	JTFH01000225.1	<>	na	Primary Assembly	2533	na
decoy00344	unplaced-scaffold	na	na	JTFH01000226.1	<>	na	Primary Assembly	2522	na
decoy00345	unplaced-scaffold	na	na	JTFH01000227.1	<>	na	Primary Assembly	2522	na
decoy00346	unplaced-scaffold	na	na	JTFH01000228.1	<>	na	Primary Assembly	2515	na
decoy00347	unplaced-scaffold	na	na	JTFH01000229.1	<>	na	Primary Assembly	2513	na
decoy00348	unplaced-scaffold	na	na	JTFH01000230.1	<>	na	Primary Assembly	2507	na
decoy00349	unplaced-scaffold	na	na	JTFH01000231.1	<>	na	Primary Assembly	2504	na
decoy00350	unplaced-scaffold	na	na	JTFH01000232.1	<>	na	Primary Assembly	2497	na
decoy00351	unplaced-scaffold	na	na	JTFH01000233.1	<>	na	Primary Assembly	2471	na
decoy00353	unplaced-scaffold	na	na	JTFH01000234.1	<>	na	Primary Assembly	2465	na
decoy00354	unplaced-scaffold	na	na	JTFH01000235.1	<>	na	Primary Assembly	2464	na
decoy00356	unplaced-scaffold	na	na	JTFH01000236.1	<>	na	Primary Assembly	2459	na
decoy00357	unplaced-scaffold	na	na	JTFH01000237.1	<>	na	Primary Assembly	2457	na
decoy00358	unplaced-scaffold	na	na	JTFH01000238.1	<>	na	Primary Assembly	2450	na
decoy00359	unplaced-scaffold	na	na	JTFH01000239.1	<>	na	Primary Assembly	2435	na
decoy00360	unplaced-scaffold	na	na	JTFH01000240.1	<>	na	Primary Assembly	2434	na
decoy00361	unplaced-scaffold	na	na	JTFH01000241.1	<>	na	Primary Assembly	2432	na
decoy00362	unplaced-scaffold	na	na	JTFH01000242.1	<>	na	Primary Assembly	2427	na
decoy00363	unplaced-scaffold	na	na	JTFH01000243.1	<>	na	Primary Assembly	2421	na
decoy00364	unplaced-scaffold	na	na	JTFH01000244.1	<>	na	Primary Assembly	2420	na
decoy00366	unplaced-scaffold	na	na	JTFH01000245.1	<>	na	Primary Assembly	2414	na
decoy00367	unplaced-scaffold	na	na	JTFH01000246.1	<>	na	Primary Assembly	2404	na
decoy00368	unplaced-scaffold	na	na	JTFH01000247.1	<>	na	Primary Assembly	2403	na
decoy00369	unplaced-scaffold	na	na	JTFH01000248.1	<>	na	Primary Assembly	2402	na
decoy00370	unplaced-scaffold	na	na	JTFH01000249.1	<>	na	Primary Assembly	2397	na
decoy00371	unplaced-scaffold	na	na	JTFH01000250.1	<>	na	Primary Assembly	2395	na
decoy00372	unplaced-scaffold	na	na	JTFH01000251.1	<>	na	Primary Assembly	2394	na
decoy00374	unplaced-scaffold	na	na	JTFH01000252.1	<>	na	Primary Assembly	2388	na
decoy00375	unplaced-scaffold	na	na	JTFH01000253.1	<>	na	Primary Assembly	2382	na
decoy00376	unplaced-scaffold	na	na	JTFH01000254.1	<>	na	Primary Assembly	2381	na
decoy00377	unplaced-scaffold	na	na	JTFH01000255.1	<>	na	Primary Assembly	2380	na
decoy00378	unplaced-scaffold	na	na	JTFH01000256.1	<>	na	Primary Assembly	2368	na
decoy00379	unplaced-scaffold	na	na	JTFH01000257.1	<>	na	Primary Assembly	2364	na
decoy00380	unplaced-scaffold	na	na	JTFH01000258.1	<>	na	Primary Assembly	2363	na
decoy00381	unplaced-scaffold	na	na	JTFH01000259.1	<>	na	Primary Assembly	2348	na
decoy00382	unplaced-scaffold	na	na	JTFH01000260.1	<>	na	Primary Assembly	2339	na
decoy00384	unplaced-scaffold	na	na	JTFH01000261.1	<>	na	Primary Assembly	2335	na
decoy00385	unplaced-scaffold	na	na	JTFH01000262.1	<>	na	Primary Assembly	2332	na
decoy00386	unplaced-scaffold	na	na	JTFH01000263.1	<>	na	Primary Assembly	2331	na
decoy00387	unplaced-scaffold	na	na	JTFH01000264.1	<>	na	Primary Assembly	2330	na
decoy00388	unplaced-scaffold	na	na	JTFH01000265.1	<>	na	Primary Assembly	2323	na
decoy00389	unplaced-scaffold	na	na	JTFH01000266.1	<>	na	Primary Assembly	2319	na
decoy00391	unplaced-scaffold	na	na	JTFH01000267.1	<>	na	Primary Assembly	2314	na
decoy00392	unplaced-scaffold	na	na	JTFH01000268.1	<>	na	Primary Assembly	2308	na
